FORMATTED DATE_TIME,Temperature,Wet Bulb Temp,Relative Humidity,Barometric Pressure,Altitude,Station Pressure,Wind Speed,Heat Index,Dew Point,Density Altitude,Crosswind,Headwind,Compass Magnetic Direction,Compass True Direction,Wind Chill
2023-12-16 12:00:00 AM,22.1,15.0,47.5,998.7,119,998.7,0.0,21.5,10.4,452,0.0,0.0,305,306,22.0
2023-12-16 12:12:00 AM,22.0,15.0,47.8,998.9,118,998.9,0.0,21.4,10.4,445,0.0,0.0,305,305,21.9
2023-12-16 12:24:00 AM,21.8,14.9,47.8,999.0,117,999.0,0.0,21.3,10.3,439,0.0,0.0,305,306,21.8
2023-12-16 12:36:00 AM,21.7,14.8,47.9,999.0,116,999.0,0.0,21.2,10.2,435,0.0,0.0,305,305,21.7
2023-12-16 12:48:00 AM,21.7,14.8,47.9,999.2,115,999.3,0.0,21.1,10.2,430,0.0,0.0,305,305,21.6
2023-12-16 01:00:00 AM,21.6,14.7,48.2,999.2,115,999.2,0.0,21.1,10.2,427,0.0,0.0,304,305,21.5
2023-12-16 01:12:00 AM,21.5,14.7,48.4,999.2,115,999.2,0.0,21.1,10.2,425,0.0,0.0,304,305,21.5
2023-12-16 01:24:00 AM,21.4,14.7,48.6,999.2,115,999.2,0.0,20.9,10.2,423,0.0,0.0,304,305,21.4
2023-12-16 01:36:00 AM,21.4,14.7,48.8,999.5,113,999.5,0.0,20.9,10.2,419,0.0,0.0,304,305,21.4
2023-12-16 01:48:00 AM,21.4,14.7,49.0,999.5,112,999.6,0.0,20.8,10.2,416,0.0,0.0,304,305,21.3
2023-12-16 02:00:00 AM,21.3,14.6,49.1,999.5,112,999.5,0.0,20.8,10.2,415,0.0,0.0,305,305,21.3
2023-12-16 02:12:00 AM,21.3,14.6,49.1,999.7,110,999.7,0.0,20.8,10.2,413,0.0,0.0,305,305,21.3
2023-12-16 02:24:00 AM,21.3,14.6,49.1,999.9,110,999.9,0.0,20.6,10.2,409,0.0,0.0,305,305,21.2
2023-12-16 02:36:00 AM,21.3,14.6,49.1,999.9,110,999.9,0.0,20.6,10.2,409,0.0,0.0,304,305,21.2
